NOC_WIDTH	NOC_HEIGHT	Injection	routing_algo	traffic_type	Chip_temp	throughput	latency	loss	power	worst_loss	worst_power
8	8	0.1	2	0	./TemperatureResult/center-block/8x8.steady	204.141	205.808	20.3819	605.696	43.7309	48651.5
8	8	0.1	2	0	./TemperatureResult/corner-block/8x8.steady	204.141	205.808	20.895	1.06E+06	66.1235	1.45E+09
8	8	0.1	2	0	./TemperatureResult/narrow-strait/8x8.steady	204.141	205.808	22.1878	6239.15	51.0798	1.43E+06
8	8	0.1	3	0	./TemperatureResult/center-block/8x8.steady	205.562	255.535	17.7279	437.773	42.1759	23849.3
8	8	0.1	3	0	./TemperatureResult/corner-block/8x8.steady	203.801	292.665	16.5894	8786.76	54.5764	7.13E+06
8	8	0.1	3	0	./TemperatureResult/narrow-strait/8x8.steady	203.543	270.003	19.6996	363.704	44.397	66047.3
8	8	0.1	4	0	./TemperatureResult/center-block/8x8.steady	204.141	222.382	19.423	623.194	45.7042	120389
8	8	0.1	4	0	./TemperatureResult/corner-block/8x8.steady	204.141	222.382	18.6282	2.23E+06	70.2808	9.86E+09
8	8	0.1	4	0	./TemperatureResult/narrow-strait/8x8.steady	204.141	222.382	20.9941	26078.9	60.3	9.95E+07
8	8	0.1	5	0	./TemperatureResult/center-block/8x8.steady	204.141	211.007	19.5534	584.546	46.2745	156457
8	8	0.1	5	0	./TemperatureResult/corner-block/8x8.steady	204.141	211.007	19.2246	480344	65.6137	1.15E+09
8	8	0.1	5	0	./TemperatureResult/narrow-strait/8x8.steady	204.141	211.007	21.2027	3365.78	49.9823	860833
8	8	0.1	6	0	./TemperatureResult/center-block/8x8.steady	204.141	229.84	19.6456	713.723	47.8694	325705
8	8	0.1	6	0	./TemperatureResult/corner-block/8x8.steady	204.141	229.84	18.76	455584	63.5787	4.50E+08
8	8	0.1	6	0	./TemperatureResult/narrow-strait/8x8.steady	204.141	229.84	21.2376	5163.8	51.5494	1.77E+06
8	8	0.1	2	1	./TemperatureResult/center-block/8x8.steady	179.126	269.85	24.3779	3349.51	42.0615	22631.4
8	8	0.1	2	1	./TemperatureResult/corner-block/8x8.steady	179.126	269.85	24.362	2.90E+06	60.757	1.23E+08
8	8	0.1	2	1	./TemperatureResult/narrow-strait/8x8.steady	179.126	269.85	22.9778	115.472	37.0922	2349.15
8	8	0.1	3	1	./TemperatureResult/center-block/8x8.steady	179.778	457.947	19.2882	2357.51	41.3852	16605.2
8	8	0.1	3	1	./TemperatureResult/corner-block/8x8.steady	179.388	224.073	13.7556	149.488	37.5106	2839.48
8	8	0.1	3	1	./TemperatureResult/narrow-strait/8x8.steady	178.098	3272.51	20.159	29.3184	27.8775	42.9375
8	8	0.1	4	1	./TemperatureResult/center-block/8x8.steady	179.126	212.631	20.8174	2624.79	42.0615	22631.4
8	8	0.1	4	1	./TemperatureResult/corner-block/8x8.steady	179.126	212.631	17.0377	1955.18	44.8576	81602.3
8	8	0.1	4	1	./TemperatureResult/narrow-strait/8x8.steady	179.126	212.631	21.1225	34.4828	29.1592	72.3462
8	8	0.1	5	1	./TemperatureResult/center-block/8x8.steady	179.13	219.849	21.9316	2829.66	42.0615	22631.4
8	8	0.1	5	1	./TemperatureResult/corner-block/8x8.steady	179.13	219.849	19.1187	644870	58.0753	3.57E+07
8	8	0.1	5	1	./TemperatureResult/narrow-strait/8x8.steady	179.13	219.849	21.5544	97.9712	37.0922	2349.15
8	8	0.1	6	1	./TemperatureResult/center-block/8x8.steady	179.134	167.327	19.301	2309.98	41.3852	16605.2
8	8	0.1	6	1	./TemperatureResult/corner-block/8x8.steady	179.134	167.327	13.9083	173.428	37.5106	2839.48
8	8	0.1	6	1	./TemperatureResult/narrow-strait/8x8.steady	179.134	167.327	20.2851	30.1782	28.082	46.6048
8	8	0.1	2	2	./TemperatureResult/center-block/8x8.steady	204.321	300.72	26.5886	6763.26	43.7309	48651.5
8	8	0.1	2	2	./TemperatureResult/corner-block/8x8.steady	204.321	300.72	28.5697	1.05E+07	63.7243	4.82E+08
8	8	0.1	2	2	./TemperatureResult/narrow-strait/8x8.steady	204.321	300.72	28.5298	54683.2	51.0798	1.43E+06
8	8	0.1	4	2	./TemperatureResult/center-block/8x8.steady	202.42	4980.21	24.2738	4760.98	42.2688	24886.4
8	8	0.1	4	2	./TemperatureResult/corner-block/8x8.steady	202.42	4980.21	23.1807	351360	55.2959	9.93E+06
8	8	0.1	4	2	./TemperatureResult/narrow-strait/8x8.steady	202.42	4980.21	25.8201	2666.18	43.3517	40883.3
8	8	0.1	5	2	./TemperatureResult/center-block/8x8.steady	204.059	998.515	25.3619	5799.31	43.7309	48651.5
8	8	0.1	5	2	./TemperatureResult/corner-block/8x8.steady	204.059	998.515	24.7648	1.67E+06	59.681	7.48E+07
8	8	0.1	5	2	./TemperatureResult/narrow-strait/8x8.steady	204.059	998.515	26.7941	14410.5	47.9497	337958
8	8	0.1	6	2	./TemperatureResult/center-block/8x8.steady	202.67	4035.15	25.3072	7531.43	45.4883	109018
8	8	0.1	6	2	./TemperatureResult/corner-block/8x8.steady	202.67	4035.15	23.5222	4.96E+06	61.6587	1.86E+08
8	8	0.1	6	2	./TemperatureResult/narrow-strait/8x8.steady	202.67	4035.15	26.5876	19962.3	48.9943	546405
8	8	0.1	2	3	./TemperatureResult/center-block/8x8.steady	178.495	265.649	25.7977	5697.47	43.7309	48651.5
8	8	0.1	2	3	./TemperatureResult/corner-block/8x8.steady	179.446	271.576	23.1743	2.36E+06	59.4485	6.72E+07
8	8	0.1	2	3	./TemperatureResult/narrow-strait/8x8.steady	179.446	271.576	24.1999	696.514	41.4803	17344.2
8	8	0.1	3	3	./TemperatureResult/center-block/8x8.steady	179.053	2654.19	22.1131	3027.36	42.1663	23744.3
8	8	0.1	3	3	./TemperatureResult/corner-block/8x8.steady	181.076	198.731	19.5756	215092	54.5764	7.13E+06
8	8	0.1	3	3	./TemperatureResult/narrow-strait/8x8.steady	181.182	545.359	22.6303	109.193	35.9136	1379.61
8	8	0.1	4	3	./TemperatureResult/center-block/8x8.steady	179.45	215.429	23.26	3735.73	43.0781	36061.8
8	8	0.1	4	3	./TemperatureResult/corner-block/8x8.steady	179.45	215.429	20.9418	418871	55.2959	9.93E+06
8	8	0.1	4	3	./TemperatureResult/narrow-strait/8x8.steady	179.45	215.429	23.3132	125.105	36.1306	1521.36
8	8	0.1	5	3	./TemperatureResult/center-block/8x8.steady	179.454	220.018	24.218	4645.57	43.7309	48651.5
8	8	0.1	5	3	./TemperatureResult/corner-block/8x8.steady	179.454	220.018	21.9772	1.05E+06	57.2939	2.49E+07
8	8	0.1	5	3	./TemperatureResult/narrow-strait/8x8.steady	179.454	220.018	23.4966	176.91	37.4657	2782.17
